"ID","signal","bpm","avg_bpm","avg_edge","date","time"
"67e76c141c6a7bf31187c79e",468,2.4,48,32,"2025-03-28","21:42:12"
"67e76c141c6a7bf31187c79d",500,2.4,48,32,"2025-03-28","21:42:12"
"67e76c101c6a7bf31187c79c",501,2.4,48,32,"2025-03-28","21:42:08"
"67e76c101c6a7bf31187c79b",463,2.4,48,32,"2025-03-28","21:42:08"
"67e76c101c6a7bf31187c79a",460,2.4,48,32,"2025-03-28","21:42:08"
"67e76c101c6a7bf31187c799",460,2.4,48,32,"2025-03-28","21:42:08"
"67e76c101c6a7bf31187c798",468,2.4,48,32,"2025-03-28","21:42:08"
"67e76c0d1c6a7bf31187c797",472,2.4,48,32,"2025-03-28","21:42:05"
"67e76c0d1c6a7bf31187c796",467,2.4,48,32,"2025-03-28","21:42:05"
"67e76c0c1c6a7bf31187c795",504,2.4,48,32,"2025-03-28","21:42:04"
"67e76c0c1c6a7bf31187c794",487,2.4,48,32,"2025-03-28","21:42:04"
"67e76c0b1c6a7bf31187c793",460,2.4,48,32,"2025-03-28","21:42:03"
"67e76c0b1c6a7bf31187c792",460,2.4,48,32,"2025-03-28","21:42:03"
"67e76c0b1c6a7bf31187c791",460,2.4,48,32,"2025-03-28","21:42:03"
"67e76c0a1c6a7bf31187c790",473,2.4,48,32,"2025-03-28","21:42:02"
"67e76c0a1c6a7bf31187c78f",461,2.4,48,32,"2025-03-28","21:42:02"
"67e76c091c6a7bf31187c78e",480,2.4,48,32,"2025-03-28","21:42:01"
"67e76c091c6a7bf31187c78d",514,2.4,48,32,"2025-03-28","21:42:01"
"67e76c091c6a7bf31187c78c",469,2.4,48,32,"2025-03-28","21:42:01"
"67e76c091c6a7bf31187c78b",461,2.4,48,32,"2025-03-28","21:42:01"
"67e76c091c6a7bf31187c78a",459,2.4,48,32,"2025-03-28","21:42:01"
"67e76c091c6a7bf31187c789",460,2.4,48,32,"2025-03-28","21:42:01"
"67e76c081c6a7bf31187c788",475,2.4,48,32,"2025-03-28","21:42:00"
"67e76c081c6a7bf31187c787",470,2.4,48,32,"2025-03-28","21:42:00"
"67e76c081c6a7bf31187c786",479,2.4,48,32,"2025-03-28","21:42:00"
"67e76c081c6a7bf31187c785",517,2.4,48,32,"2025-03-28","21:42:00"
"67e76c071c6a7bf31187c784",477,2.4,48,32,"2025-03-28","21:41:59"
"67e76c051c6a7bf31187c783",461,2.4,48,32,"2025-03-28","21:41:57"
"67e76c051c6a7bf31187c782",460,2.4,48,32,"2025-03-28","21:41:57"
"67e76c041c6a7bf31187c781",460,2.4,48,32,"2025-03-28","21:41:56"
"67e76c041c6a7bf31187c780",469,2.4,48,32,"2025-03-28","21:41:56"
"67e76c021c6a7bf31187c77f",474,2.4,48,32,"2025-03-28","21:41:54"
"67e76bff1c6a7bf31187c77e",468,2.4,48,32,"2025-03-28","21:41:51"
"67e76bff1c6a7bf31187c77d",505,2.4,48,32,"2025-03-28","21:41:51"
"67e76bff1c6a7bf31187c77c",495,2.4,48,32,"2025-03-28","21:41:51"
"67e76bfe1c6a7bf31187c77b",456,2.4,48,32,"2025-03-28","21:41:50"
"67e76bfe1c6a7bf31187c77a",455,2.4,48,32,"2025-03-28","21:41:50"
"67e76bfe1c6a7bf31187c779",460,2.4,48,32,"2025-03-28","21:41:50"
"67e76bfe1c6a7bf31187c778",468,2.4,48,32,"2025-03-28","21:41:50"
"67e76bfe1c6a7bf31187c777",463,2.4,48,32,"2025-03-28","21:41:50"
"67e76bfd1c6a7bf31187c776",472,2.4,48,32,"2025-03-28","21:41:49"
"67e76bfd1c6a7bf31187c775",514,2.4,48,32,"2025-03-28","21:41:49"
"67e76bfd1c6a7bf31187c774",471,2.4,48,32,"2025-03-28","21:41:49"
"67e76bfd1c6a7bf31187c773",458,2.4,48,32,"2025-03-28","21:41:49"
"67e76bf91c6a7bf31187c772",454,2.4,48,32,"2025-03-28","21:41:45"
"67e76bf91c6a7bf31187c771",460,2.4,48,32,"2025-03-28","21:41:45"
"67e76bf91c6a7bf31187c770",472,2.4,48,32,"2025-03-28","21:41:45"
"67e76bf91c6a7bf31187c76f",462,2.4,48,32,"2025-03-28","21:41:45"
"67e76bf91c6a7bf31187c76e",473,2.4,48,32,"2025-03-28","21:41:45"
"67e76bf71c6a7bf31187c76d",523,2.4,48,32,"2025-03-28","21:41:43"
"67e76bf51c6a7bf31187c76c",467,2.4,48,32,"2025-03-28","21:41:41"
"67e76bf51c6a7bf31187c76b",454,2.4,48,32,"2025-03-28","21:41:41"
"67e76bf51c6a7bf31187c76a",458,2.4,48,32,"2025-03-28","21:41:41"
"67e76bf41c6a7bf31187c769",460,2.4,48,32,"2025-03-28","21:41:40"
"67e76bf31c6a7bf31187c768",468,2.4,48,32,"2025-03-28","21:41:39"
"67e76bf31c6a7bf31187c767",462,2.4,48,32,"2025-03-28","21:41:39"
"67e76bf31c6a7bf31187c766",481,2.4,48,32,"2025-03-28","21:41:39"
"67e76bf31c6a7bf31187c765",532,2.4,48,32,"2025-03-28","21:41:39"
"67e76bf11c6a7bf31187c764",468,2.4,48,32,"2025-03-28","21:41:37"
"67e76bf11c6a7bf31187c763",451,2.4,48,32,"2025-03-28","21:41:37"
"67e76bf11c6a7bf31187c762",450,2.4,48,32,"2025-03-28","21:41:37"
"67e76bed1c6a7bf31187c761",459,2.4,48,32,"2025-03-28","21:41:33"
"67e76bed1c6a7bf31187c760",470,2.4,48,32,"2025-03-28","21:41:33"
"67e76bed1c6a7bf31187c75f",455,2.4,48,32,"2025-03-28","21:41:33"
"67e76bed1c6a7bf31187c75e",508,2.4,48,32,"2025-03-28","21:41:33"
"67e76bed1c6a7bf31187c75d",522,2.4,48,32,"2025-03-28","21:41:33"
"67e76bed1c6a7bf31187c75c",448,2.4,48,32,"2025-03-28","21:41:33"
"67e76bed1c6a7bf31187c75b",452,2.4,48,32,"2025-03-28","21:41:33"
"67e76bec1c6a7bf31187c75a",447,2.4,48,32,"2025-03-28","21:41:32"
"67e76bec1c6a7bf31187c759",468,2.4,48,32,"2025-03-28","21:41:32"
"67e76bec1c6a7bf31187c758",460,2.4,48,32,"2025-03-28","21:41:32"
"67e76bec1c6a7bf31187c757",475,2.4,48,32,"2025-03-28","21:41:32"
"67e76bec1c6a7bf31187c756",551,2.4,48,32,"2025-03-28","21:41:32"
"67e76bec1c6a7bf31187c755",484,2.4,48,32,"2025-03-28","21:41:32"
"67e76bec1c6a7bf31187c754",447,2.4,48,32,"2025-03-28","21:41:32"
"67e76bec1c6a7bf31187c753",448,2.4,48,32,"2025-03-28","21:41:32"
"67e76beb1c6a7bf31187c752",443,2.4,48,32,"2025-03-28","21:41:31"
"67e76beb1c6a7bf31187c751",463,2.4,48,32,"2025-03-28","21:41:31"
"67e76beb1c6a7bf31187c750",453,2.4,48,32,"2025-03-28","21:41:31"
"67e76beb1c6a7bf31187c74f",479,2.4,48,32,"2025-03-28","21:41:31"
"67e76beb1c6a7bf31187c74e",561,2.4,48,32,"2025-03-28","21:41:31"
"67e76beb1c6a7bf31187c74d",478,2.4,48,32,"2025-03-28","21:41:31"
"67e76beb1c6a7bf31187c74c",449,2.4,48,32,"2025-03-28","21:41:31"
